id,title,author_info,rating,pros,cons,Categories
0,Good Company,"Jul 8, 2022 - Support Engineer in Chennai",5,1) Work Recognition 2) Career Growth 3) Flexible Timings,1) Work can be more depends on Team,Culture
1,Great pay master and global culture,"Aug 14, 2021 - Product Manager in Bangalore",5,Get to work with global tech and engineering teams. Cross border implementation with Amazon's scale delivering high impact focussed problem solving,High performance culture and can get lost in the large organisation,Technology
2,Good company,"Jul 7, 2022 - SPS in New Delhi",5,Good company everything is good.,Everything is good no cons.,Culture
3,Good work culture,"Jul 7, 2022 - Customer Service Associate in Coimbatore",5,"Good work culture, No stress, no pressurising by managers.","8 hours of work, sometimes call flow will be high, if you can handle call flow then best place to work.",Culture
4,"Good work culture, benefits, people, career","Jul 7, 2022 - Senior Applications Engineering Manager in Chennai",5,"Good work culture, benefits, people, career","Too new to share, will revisit later",Technology
5,Good to work,"Jul 7, 2022 - Customer Service Associate in Mumbai",5,Feel free to work great experience,This why they are top of the table,Culture
6,awesome,"Jul 7, 2022 - CXQO Associate in Hyderābād",5,all the benefits are awesome,no cons found till now,Technology
7,Growth and Excitement rolled into one!,"Jul 7, 2022 - SPRO Investigator  JP in Hyderābād",5,"In respect of corporation as a whole : Transparent culture, innovative thinking, consistent support and a healthy work culture. In respect of the job : it is exciting and engaging and helps you understand the customer side of things.","it is more of a ""room for improvement"" than a con when you consider that Amazon is one of the top companies at global levle and yet, does not necessarily beat the other companies in terms of pay scales offered.",Culture
8,Senior Associate,"Jul 7, 2022 - Senior Process Associate in Chennai",5,freedom to work -work from home/office good promotion OT skill development,Nothing to say. Everything is well organized,Technology
9,Amazing Employer,"Jul 7, 2022 - Transaction Risk Investigator in Bangalore",5,Amazing Employer with good work life balance if the reporting manager is good.,Bad growth aspect & salary hike for operations roles.,Technology
10,Overall great,"Jul 5, 2022 - Software Development Engineer in Bangalore",5,Good working environment and best work life balance.,"as such no problems, because of on call support",Technology
11,Great company to work,"Jul 5, 2022 - Software Engineer in Mumbai",5,"Work culture ,supportive manager,perks,great tech stack",Nothing as such which needs mention,Technology
12,Employee Centric and Plenty of Opportunities to Learn and Grow,"Jul 5, 2022 - Manager in Hyderābād",5,It's been nearly 3 months that I've joined Amazon and my experience has been enriching. Previously I have worked three companies and I can see the explicit different why Amazon is the best company when it comes to taking care of their employees as well as customers. Amazon offers exceptional flexibility to all of it's employees and treat every one fairly. Expectations are always clear from all levels and one needs to focus on job at hand and deliver exceptional results.,"No one is perfect, so does Amazon. However, Amazon acknowledges this publicly and strives to achieve operational excellence and deliver value to it's employees, customers, sellers, developers and suppliers.",Culture
13,Good,"Jul 5, 2022 - Senior Investigation Specialist in Bangalore",5,It’s a Good working environment,No cons noted in particular.,Management
14,Amazing,"Jul 5, 2022 - Listing Specialist in Hyderābād",5,Ability to learn new things Inclusive work environment Helpful collegues Good Work Culture Provides lot of benefits,Sometimes little bit stressful as you might have to work extra for not getting OTA.,Technology
15,Na,"Jul 5, 2022 - Senior Associate in Bangalore",5,Good and ethical environment to work,Micro management is the worse case,Management
16,Nothing,"Jul 5, 2022 - Senior Customer Service Representative in Noida",5,It has amazing work life balance,Salary is a little less,Technology
17,Selling Partner Support,"Jul 5, 2022 - Selling Partner Support in Calcutta",5,Excellent work life balance Friendly Room to grow,Strict Performance based evaluation Too much emphasis on metrics,Technology
18,Base salary,"Jul 5, 2022 - Software Development Engineer (SDE1) in Gurgaon, Haryana",5,Great ambiance to work in and with great people.,Too much work be careful before joining,Technology
