,id,title,author_info,rating,pros,cons,Date,Location,Status
0,0,Good Company,"Jul 8, 2022 - Support Engineer in Chennai",5,1) Work Recognition 2) Career Growth 3) Flexible Timings,1) Work can be more depends on Team,"Jul 8, 2022 ",Chennai, Support Engineer
1,1,Great pay master and global culture,"Aug 14, 2021 - Product Manager in Bangalore",5,Get to work with global tech and engineering teams. Cross border implementation with Amazon's scale delivering high impact focussed problem solving,High performance culture and can get lost in the large organisation,"Aug 14, 2021 ",Bangalore, Product Manager
2,2,Good company,"Jul 7, 2022 - SPS in New Delhi",5,Good company everything is good.,Everything is good no cons.,"Jul 7, 2022 ",New Delhi, SPS
3,3,Good work culture,"Jul 7, 2022 - Customer Service Associate in Coimbatore",5,"Good work culture, No stress, no pressurising by managers.","8 hours of work, sometimes call flow will be high, if you can handle call flow then best place to work.","Jul 7, 2022 ",Coimbatore, Customer Service Associate
4,4,"Good work culture, benefits, people, career","Jul 7, 2022 - Senior Applications Engineering Manager in Chennai",5,"Good work culture, benefits, people, career","Too new to share, will revisit later","Jul 7, 2022 ",Chennai, Senior Applications Engineering Manager
5,5,Good to work,"Jul 7, 2022 - Customer Service Associate in Mumbai",5,Feel free to work great experience,This why they are top of the table,"Jul 7, 2022 ",Mumbai, Customer Service Associate
6,6,awesome,"Jul 7, 2022 - CXQO Associate in Hyderābād",5,all the benefits are awesome,no cons found till now,"Jul 7, 2022 ",Hyderābād, CXQO Associate
7,7,Growth and Excitement rolled into one!,"Jul 7, 2022 - SPRO Investigator  JP in Hyderābād",5,"In respect of corporation as a whole : Transparent culture, innovative thinking, consistent support and a healthy work culture. In respect of the job : it is exciting and engaging and helps you understand the customer side of things.","it is more of a ""room for improvement"" than a con when you consider that Amazon is one of the top companies at global levle and yet, does not necessarily beat the other companies in terms of pay scales offered.","Jul 7, 2022 ",Hyderābād, SPRO Investigator  JP
8,8,Senior Associate,"Jul 7, 2022 - Senior Process Associate in Chennai",5,freedom to work -work from home/office good promotion OT skill development,Nothing to say. Everything is well organized,"Jul 7, 2022 ",Chennai, Senior Process Associate
9,9,Amazing Employer,"Jul 7, 2022 - Transaction Risk Investigator in Bangalore",5,Amazing Employer with good work life balance if the reporting manager is good.,Bad growth aspect & salary hike for operations roles.,"Jul 7, 2022 ",Bangalore, Transaction Risk Investigator
10,10,Overall great,"Jul 5, 2022 - Software Development Engineer in Bangalore",5,Good working environment and best work life balance.,"as such no problems, because of on call support","Jul 5, 2022 ",Bangalore, Software Development Engineer
11,11,Great company to work,"Jul 5, 2022 - Software Engineer in Mumbai",5,"Work culture ,supportive manager,perks,great tech stack",Nothing as such which needs mention,"Jul 5, 2022 ",Mumbai, Software Engineer
