,Unnamed: 0,title,author_info,rating,pros,cons
0,0,Good Company,"Jul 8, 2022 - Support Engineer in Chennai",5,"['work', 'recognition', 'career', 'growth', 'flexible', 'timings']","['work', 'depends', 'team']"
1,1,Great pay master and global culture,"Aug 14, 2021 - Product Manager in Bangalore",5,"['get', 'work', 'global', 'tech', 'engineering', 'teams', 'cross', 'border', 'implementation', 'amazon', 'scale', 'delivering', 'high', 'impact', 'focussed', 'problem', 'solving']","['high', 'performance', 'culture', 'get', 'lost', 'large', 'organisation']"
2,2,Good company,"Jul 7, 2022 - SPS in New Delhi",5,"['good', 'company', 'everything']","['everything', 'good', 'cons']"
3,3,Good work culture,"Jul 7, 2022 - Customer Service Associate in Coimbatore",5,"['good', 'work', 'culture', 'stress', 'pressurising', 'managers']","['hours', 'work', 'sometimes', 'call', 'flow', 'high', 'handle', 'best', 'place']"
4,4,"Good work culture, benefits, people, career","Jul 7, 2022 - Senior Applications Engineering Manager in Chennai",5,"['good', 'work', 'culture', 'benefits', 'people', 'career']","['new', 'share', 'revisit', 'later']"
5,5,Good to work,"Jul 7, 2022 - Customer Service Associate in Mumbai",5,"['feel', 'free', 'work', 'great', 'experience']","['top', 'table']"
6,6,awesome,"Jul 7, 2022 - CXQO Associate in Hyderābād",5,"['benefits', 'awesome']","['cons', 'found', 'till']"
7,7,Growth and Excitement rolled into one!,"Jul 7, 2022 - SPRO Investigator  JP in Hyderābād",5,"['respect', 'corporation', 'whole', 'transparent', 'culture', 'innovative', 'thinking', 'consistent', 'support', 'healthy', 'work', 'job', 'exciting', 'engaging', 'helps', 'understand', 'customer', 'side', 'things']","['room', 'improvement', 'con', 'consider', 'amazon', 'one', 'top', 'companies', 'global', 'levle', 'yet', 'necessarily', 'beat', 'terms', 'pay', 'scales', 'offered']"
8,8,Senior Associate,"Jul 7, 2022 - Senior Process Associate in Chennai",5,"['freedom', 'work', 'good', 'promotion', 'ot', 'skill', 'development']","['nothing', 'say', 'everything', 'well', 'organized']"
9,9,Amazing Employer,"Jul 7, 2022 - Transaction Risk Investigator in Bangalore",5,"['amazing', 'employer', 'good', 'work', 'life', 'balance', 'reporting', 'manager']","['bad', 'growth', 'aspect', 'salary', 'hike', 'operations', 'roles']"
